content_id,genre_id
854,28
854,14
854,12
855,16
855,10751
856,80
857,18
857,10749
858,10402
858,99
858,10770
859,18
859,53
860,18
861,18
862,16
862,878
862,14
862,10751
862,28
863,10402
863,99
864,16
865,99
866,16
866,14
866,12
866,10751
867,18
868,16
868,10751
868,12
868,878
868,14
869,18
869,10402
869,10749
870,99
871,99
873,16
873,18
873,10749
874,16
875,16
875,35
877,18
878,18
878,35
879,35
879,10764
880,10764
881,10759
881,18
881,35
882,35
882,10765
882,18
883,16
883,10762
884,10759
884,18
885,10764
885,10751
886,10759
886,9648
886,18
887,10759
887,80
887,18
888,18
888,10759
888,80
889,16
889,10759
889,10765
890,10764
890,10767
891,10759
891,80
891,18
892,18
893,18
893,35
893,80
894,16
894,10762
895,10751
895,10764
896,18
896,10765
896,35
897,10759
897,18
897,10765
898,10764
898,35
898,10767
899,10759
899,35
899,10765
899,18
900,35
900,18
902,10765
902,10759
903,18
904,18
904,35
905,18
906,9648
906,10759
906,10765
906,18
907,18
907,10765
907,10759
907,9648
908,10765
908,80
909,35
909,10767
910,18
911,10764
912,18
912,9648
912,10759
913,16
913,10762
913,10751
913,10759
913,35
914,16
914,10762
915,18
915,35
916,18
916,35
917,10759
917,35
917,18
917,80
918,9648
918,18
919,35
919,18
920,18
920,35
921,10765
921,18
922,10767
922,10764
923,10764
924,18
925,99
926,18
926,35
927,16
927,10759
927,10765
927,10751
927,10762
927,35
928,35
928,18
929,9648
929,18
930,10762
930,16
930,10765
930,10759
931,35
932,18
932,9648
933,80
933,18
933,9648
934,18
935,18
935,35
936,18
936,35
936,10765
937,35
937,18
938,10759
938,18
938,80
939,18
939,10759
939,80
940,35
940,18
941,80
941,35
941,10759
941,18
942,10767
942,9648
942,80
943,80
943,35
943,9648
943,18
944,18
944,9648
945,99
946,35
946,18
947,18
947,10765
947,35
947,9648
948,18
948,9648
949,35
949,10765
949,18
950,10759
950,80
950,18
950,9648
951,18
951,35
952,18
952,35
953,35
953,18
954,10759
954,18
955,18
955,9648
955,10765
956,35
956,18
957,16
957,10762
957,35
957,10751
958,18
958,10765
959,10765
959,35
959,18
960,80
960,18
960,9648
961,18
961,10751
962,18
963,18
963,35
964,35
964,18
965,18
965,35
966,10765
966,9648
966,10759
966,18
967,18
967,9648
967,10759
968,35
968,18
968,10765
968,80
969,18
969,10759
970,10751
970,35
971,80
971,18
971,9648
971,10759
972,18
972,9648
972,10765
973,35
973,10759
973,18
974,18
975,10765
975,18
976,9648
976,18
977,10765
977,18
978,18
978,35
979,80
979,35
979,18
980,80
980,9648
980,18
981,18
982,80
982,10764
983,10764
984,18
984,35
985,10764
986,10759
986,18
987,35
987,18
988,18
988,10765
988,9648
989,18
990,18
990,10765
990,10768
991,18
991,9648
991,80
992,16
992,10762
993,35
993,18
994,18
994,35
995,99
995,10767
996,18
996,9648
997,18
997,35
997,10765
998,35
998,10764
999,18
999,35
999,10765
1000,18
1000,80
1000,9648
1001,18
1002,18
1003,18
1003,80
1004,80
1004,35
1004,18
1005,35
1005,18
1006,18
1006,10765
1006,9648
1006,35
1007,18
1007,9648
1007,80
1008,18
1008,10765
1008,10759
1009,18
1010,10765
1010,18
1010,35
1010,9648
1011,16
1011,9648
1011,10765
1011,10759
1012,10765
1012,18
1012,35
1013,10764
1013,35
1013,10767
1014,18
1015,35
1015,10767
1016,18
1016,35
1017,18
1018,35
1018,18
1019,35
1019,18
1020,16
1020,10762
1020,35
1021,10765
1021,10759
1021,18
1022,10765
1022,35
1022,18
1023,9648
1023,80
1023,18
1024,18
1025,18
1025,35
1026,10764
1027,10764
1028,18
1028,10765
1028,35
1029,18
1029,80
1030,35
1030,9648
1031,35
1031,18
1032,9648
1032,18
1033,35
1033,18
1034,18
1034,35
1035,18
1035,9648
1036,18
1037,10764
1038,18
1038,9648
1039,35
1039,80
1039,18
1040,18
1041,18
1042,18
1043,35
1043,18
1043,10765
1044,18
1044,10765
1044,35
1045,18
1046,18
1047,9648
1047,18
1048,10764
1049,35
1049,10765
1049,18
1050,18
1051,18
1052,35
1052,18
1053,18
1053,80
1053,9648
1054,18
1054,10751
1054,10749
1054,35
1055,18
1055,9648
1056,18
1056,35
1056,9648
1056,80
