title,content_type,genre_ids,release_date,vote_average,vote_count,popularity,tmdb_id
인천상륙작전,영화,"[36, 18, 10752, 28]",2016-07-27,5.8,230,4.13,407887
유열의 음악앨범,영화,"[10749, 18]",2019-08-28,7.721,326,3.881,570503
늑대소년,영화,"[10749, 14]",2012-10-31,7.663,291,3.9682,128246
천박사 퇴마 연구소: 설경의 비밀,영화,"[14, 9648, 28]",2023-09-27,6.224,58,4.3615,950253
특송,영화,"[28, 80]",2022-01-12,7.076,229,3.8647,606403
조작된 도시,영화,"[28, 53, 80]",2017-02-09,7.651,365,4.2668,435366
베테랑,영화,"[28, 80, 35, 53]",2015-08-05,6.9,257,3.969,346646
엑시트,영화,"[28, 35]",2019-07-31,7.619,310,4.0423,572164
밀수,영화,"[80, 28]",2023-07-26,6.537,82,3.2315,783110
더 문,영화,"[18, 12, 878]",2023-08-02,6.514,217,3.5803,753091
살인자 리포트,영화,"[18, 53]",2025-09-05,7.3,34,3.7396,1151766
지금 만나러 갑니다,영화,"[10749, 18, 14]",2018-03-14,8.2,224,3.7047,499028
로기완,영화,"[10749, 18]",2024-02-19,7.272,158,4.0327,1039882
살인자의 기억법,영화,"[80, 9648, 53]",2017-09-07,7.429,390,4.06,432836
청년경찰,영화,"[35, 28, 80, 53]",2017-08-09,7.557,255,3.6327,453127
베테랑 2,영화,"[28, 80, 35]",2024-09-13,7,101,3.5095,995926
잠,영화,"[27, 9648, 53]",2023-09-06,6.706,255,4.2806,964592
사바하,영화,"[27, 9648, 53, 80]",2019-02-20,6.724,221,3.5363,556509
반창꼬,영화,"[18, 10749, 35]",2012-12-19,7.338,102,3.3724,146724
타짜,영화,"[80, 35]",2006-09-28,6.9,100,3.5036,38015
독전 2,영화,"[53, 28, 80]",2023-10-05,6.707,116,3.5557,958263
담보,영화,"[35, 18, 10751]",2020-09-29,8.3,74,3.6145,589174
나쁜 녀석들: 더 무비,영화,"[28, 80]",2019-09-11,7.029,173,3.4863,585831
미션 파서블,영화,"[35, 28, 53]",2021-02-17,7.448,201,3.6135,629028
대호,영화,"[28, 36, 12, 18]",2015-12-16,7.6,282,3.7139,363093
넘버원,영화,"[14, 18]",2026-02-11,5.9,12,3.6384,1411577
타짜: 원 아이드 잭,영화,"[80, 18]",2019-09-11,6.1,38,3.3334,574302
판도라,영화,"[53, 18, 28]",2016-12-07,7.536,515,3.5863,429450
우는 남자,영화,"[28, 53, 18]",2014-06-04,7.287,307,3.8318,265851
럭키,영화,"[28, 35, 80]",2016-10-13,7.168,152,3.257,421928
7번방의 선물,영화,"[18, 35]",2013-01-23,7.892,504,4.0867,158445
강남 1970,영화,"[28, 80, 53]",2015-01-21,6.351,97,3.9098,297721
싸이보그지만 괜찮아,영화,"[18, 35, 10749]",2006-12-07,7.047,620,3.3419,5488
리멤버,영화,"[53, 28, 18]",2022-10-26,7.6,107,3.7927,633374
동창생,영화,"[28, 53, 18]",2013-11-05,7.232,142,3.5681,235704
공조 2: 인터내셔날,영화,"[28, 35]",2022-09-07,7,70,3.3453,736820
프로젝트 Y,영화,"[80, 18]",2026-01-21,6.1,16,3.6029,1401542
리턴 투 서울,영화,[18],2022-11-18,6.246,489,3.3847,952701
84제곱미터,영화,"[53, 18]",2025-07-17,6.164,277,3.259,1269208
아수라,영화,"[28, 80, 53]",2016-09-28,6.798,124,3.6065,408620
내 머리 속의 지우개,영화,"[18, 10749]",2004-11-05,7.782,379,3.2867,15859
소울메이트,영화,"[18, 10749]",2023-03-15,7.9,100,3.6899,617882
프리즌,영화,"[80, 28]",2017-03-23,7.104,111,3.3147,438798
대도시의 사랑법,영화,"[10749, 18]",2024-10-01,7.851,77,4.0249,1154154
리얼,영화,"[28, 80, 53]",2017-06-28,5.23,74,3.3696,437633
보고타: 마지막 기회의 땅,영화,"[53, 80, 18]",2024-12-31,7,101,5.2618,636279
새콤달콤,영화,"[18, 10749, 35]",2021-06-04,7.701,256,3.4506,662237
제8일의 밤,영화,"[9648, 53, 27]",2021-07-02,6.177,167,4.0238,604360
뷰티 인사이드,영화,"[14, 10749]",2015-08-20,7.659,290,3.0331,338729
김씨 표류기,영화,"[18, 35, 10749]",2009-05-14,7.906,744,3.6868,18438
시월애,영화,"[18, 10749, 14]",2000-09-09,7.4,198,3.0747,12650
걸캅스,영화,"[28, 35, 80]",2019-05-09,6.919,80,3.4309,571786
남한산성,영화,"[10752, 18, 36, 28]",2017-10-03,6.785,163,3.4225,437081
해치지않아,영화,"[35, 18]",2020-01-15,6.253,87,3.3536,575718
섬,영화,"[18, 53]",2000-04-22,6.923,378,3.4635,8653
변신,영화,"[27, 53]",2019-08-21,7.056,195,2.9837,581531
리틀 포레스트,영화,[18],2018-02-28,7.608,180,3.6747,448491
내일의 기억,영화,"[9648, 53]",2021-04-21,6.966,104,3.4798,602302
범죄와의 전쟁: 나쁜놈들 전성시대,영화,"[80, 53]",2012-02-02,6.9,190,3.0755,89501
밀양,영화,[18],2007-05-23,7.213,239,3.0071,2015
끝까지 간다,영화,"[80, 53, 9648, 28]",2014-05-29,7.081,521,3.1936,269494
장산범,영화,"[27, 53]",2017-08-17,6.329,175,2.7888,437108
쎄시봉,영화,"[35, 10749, 18]",2015-02-05,6.9,18,4.3301,348613
국제시장,영화,[18],2014-12-17,7.401,142,3.0337,313108
얼굴,영화,"[9648, 53]",2025-09-11,7,37,3.1966,1316719
육사오（6/45）,영화,[35],2022-08-24,6.821,53,3.0686,821153
회사원,영화,"[18, 28, 80, 53]",2012-10-11,6.9,217,3.1587,134126
박하사탕,영화,[18],2000-01-01,7.505,307,2.9307,41245
교섭,영화,"[28, 53, 18]",2023-01-18,5.774,62,3.0278,606400
지구를 지켜라!,영화,"[35, 878, 80]",2003-04-04,7.006,252,2.7284,11297
구원자,영화,"[27, 53, 18]",2025-11-05,6,8,3.2917,1447032
너의 결혼식,영화,"[10749, 18]",2018-08-22,7.5,193,3.0204,532444
1987,영화,"[18, 36, 53]",2017-12-27,8,183,3.112,437103
용서는 없다,영화,"[80, 53, 28]",2010-01-07,7.408,213,2.9469,50475
극장판 슈퍼윙스: 맥시멈 스피드,영화,"[16, 28, 12, 35, 10751, 878]",2023-07-20,6.3,9,3.2616,1148189
서울역,영화,"[16, 27, 878, 28, 53]",2016-08-17,6.534,500,2.8216,389868
대외비,영화,"[80, 53, 18]",2023-03-01,6.074,34,2.7064,640327
바르게 살자,영화,"[35, 28, 80]",2007-08-18,7.31,87,2.9009,38963
베를린,영화,"[28, 53, 80]",2013-01-30,6.675,231,3.0034,160704
순수의 시대,영화,"[10749, 18, 36]",2015-03-05,6.8,55,2.991,333167
쉬리,영화,"[28, 12, 18, 53]",1999-02-13,6.392,195,3.0735,10355
은밀하게 위대하게,영화,"[28, 18, 35]",2013-06-05,6.989,218,3.4458,199584
타겟,영화,"[53, 9648, 80]",2023-08-30,6.793,91,2.9056,813079
시스터,영화,"[80, 53]",2026-01-28,5.778,9,2.9064,1394098
터널,영화,"[53, 18]",2016-08-10,7.29,661,3.3339,390497
승부,영화,"[18, 36]",2025-03-26,7.278,88,2.9249,760497
크로스,영화,"[28, 35]",2024-08-08,6.964,165,2.9677,1002088
사냥의 시간,영화,"[18, 28, 53]",2020-02-22,7.118,353,2.7415,571785
발신제한,영화,"[28, 80, 18, 53]",2021-06-23,7.5,225,2.9664,654739
하얼빈,영화,"[28, 53, 36, 10752]",2024-12-24,7.294,51,2.7553,610251
거미집,영화,"[35, 18]",2023-09-27,6.527,113,3.168,901121
클래식,영화,"[18, 10749]",2003-01-30,7.61,191,3.3187,42190
